sig_id	pert_id	pert_mfc_id	cmap_name	pert_type	cell_iname	pert_idose	pert_itime	is_hiq	cc_q75
TA.OE015_A549_96H:BRDN0000553095:-666	BRDN0000553095	BRDN0000553095	IDH2	trt_oe	A549		96 h	1	0.36
XPR008_A549.311_96H:O23	BRDN0000562885	BRDN0000562885	BIRC5	trt_xpr	A549		96 h	1	0.3634
XPR008_PC3.311B_96H:G11	BRDN0001061033	BRDN0001061033	AKT1	trt_xpr	PC3		96 h	1	0.5304
XPR008_PC3.311B_96H:K24	BRDN0001065538	BRDN0001065538	JAK2	trt_xpr	PC3		96 h	1	0.532
XPR008_PC3.311B_96H:M16	BRDN0001060354	BRDN0001060354	TP53	trt_xpr	PC3		96 h	1	0.1713
XPR008_PC3.311B_96H:O23	BRDN0000562885	BRDN0000562885	BIRC5	trt_xpr	PC3		96 h	1	0.2339
XPR009_A375.311_96H:N10	BRDN0001147537	BRDN0001147537	CDK4	trt_xpr	A375		96 h	1	0.4322
XPR012_A549.311_96H:L01	BRDN0000585870	BRDN0000585870	BRCA1	trt_xpr	A549		96 h	1	0.5546
XPR014_PC3.311B_96H:I02	BRDN0000563636	BRDN0000563636	CDKN2A	trt_xpr	PC3		96 h	1	0.3177
XPR015_A375.311_96H:G13	BRDN0001147582	BRDN0001147582	ABL1	trt_xpr	A375		96 h	1	0.4163
XPR016_A375.311_96H:H08	BRDN0001148604	BRDN0001148604	CDK6	trt_xpr	A375		96 h	1	0.4454
XPR016_A375.311_96H:J12	BRDN0001147572	BRDN0001147572	CDK4	trt_xpr	A375		96 h	1	0.5699
XPR016_A549.311_96H:H08	BRDN0001148604	BRDN0001148604	CDK6	trt_xpr	A549		96 h	1	0.5593
XPR016_PC3.311B_96H:J12	BRDN0001147572	BRDN0001147572	CDK4	trt_xpr	PC3		96 h	1	0.373
XPR020_A549.311_96H:P02	BRDN0001485713	BRDN0001485713	NFKBIA	trt_xpr	A549		96 h	1	0.2745
XPR020_PC3.311B_96H:P02	BRDN0001485713	BRDN0001485713	NFKBIA	trt_xpr	PC3		96 h	1	0.2567
XPR022_A375.311_96H:P07	BRDN0001493977	BRDN0001493977	RB1	trt_xpr	A375		96 h	1	0.1291
XPR023_A549.311_96H:F05	BRDN0001147538	BRDN0001147538	ABL1	trt_xpr	A549		96 h	1	0.2724
XPR024_A549.311_96H:L02	BRDN0001503000	BRDN0001503000	SOCS1	trt_xpr	A549		96 h	1	0.4374
XPR024_PC3.311B_96H:L02	BRDN0001503000	BRDN0001503000	SOCS1	trt_xpr	PC3		96 h	1	0.2553
XPR025_A375.311_96H:D24	BRDN0001479633	BRDN0001479633	CDKN1A	trt_xpr	A375		96 h	1	0.3967
XPR025_A549.311_96H:D24	BRDN0001479633	BRDN0001479633	CDKN1A	trt_xpr	A549		96 h	1	0.4765
XPR025_A549.311_96H:K14	BRDN0000579836	BRDN0000579836	STAT5A	trt_xpr	A549		96 h	1	0.2329
XPR025_A549.311_96H:L11	BRDN0001147537	BRDN0001147537	CDK4	trt_xpr	A549		96 h	1	0.3974
XPR025_PC3.311B_96H:L11	BRDN0001147537	BRDN0001147537	CDK4	trt_xpr	PC3		96 h	1	0.3461
XPR026_A375.311_96H:L06	BRDN0001145082	BRDN0001145082	MTOR	trt_xpr	A375		96 h	1	0.5234
XPR026_A549.311_96H:L06	BRDN0001145082	BRDN0001145082	MTOR	trt_xpr	A549		96 h	1	0.4396
XPR029_A375.311_96H:D24	BRDN0001487368	BRDN0001487368	RUNX1	trt_xpr	A375		96 h	1	0.45
XPR032_A549.311_96H:F10	BRDN0001147582	BRDN0001147582	ABL1	trt_xpr	A549		96 h	1	0.4545
XPR033_A549.311_96H:C10	BRDN0001147572	BRDN0001147572	CDK4	trt_xpr	A549		96 h	1	0.4805
XPR040_A549.311_96H:C23	BRDN0001066749	BRDN0001066749	DNMT3A	trt_xpr	A549		96 h	1	0.2988
XPR040_A549.311_96H:G07	BRDN0001061121	BRDN0001061121	MYB	trt_xpr	A549		96 h	1	0.2972
XPR040_A549.311_96H:K17	BRDN0001061061	BRDN0001061061	MYB	trt_xpr	A549		96 h	1	0.2399
XPR041_A549.311_96H:F17	BRDN0001496581	BRDN0001496581	GATA2	trt_xpr	A549		96 h	1	0.2172
XPR041_A549.311_96H:L11	BRDN0001504104	BRDN0001504104	GATA2	trt_xpr	A549		96 h	1	0.2571
XPR042_A549.311_96H:K24	BRDN0001147582	BRDN0001147582	ABL1	trt_xpr	A549		96 h	1	0.3293
XPR042_A549.311_96H:O15	BRDN0001057080	BRDN0001057080	EZH2	trt_xpr	A549		96 h	1	0.3607
XPR047_A549.311_96H:K19	BRDN0000563872	BRDN0000563872	BCL2	trt_xpr	A549		96 h	1	0.3187
XPRJJ001_A375_96H:BRDN0001057046:-666	BRDN0001057046	BRDN0001057046	DNMT3A	trt_xpr	A375		96 h	1	0.5
XPRJJ001_A375_96H:BRDN0001057888:-666	BRDN0001057888	BRDN0001057888	DNMT3A	trt_xpr	A375		96 h	1	0.35
